Feature,Mean |SHAP|
orie_pitch_mean,0.03363173097439551
acc_x_min,0.03235643939331332
acc_z_iqr,0.026429181702661352
orie_pitch_min,0.026421498063944053
orie_pitch_energy,0.022404150622941942
acc_x_max,0.01658641091787024
acc_x_std,0.014474459051666118
gyro_x_min,0.011217505866555622
orie_yaw_energy,0.01100997860259138
acc_x_iqr,0.01034735242719912
orie_pitch_range,0.010012065089708611
acc_x_energy,0.008391631444232326
orie_roll_max,0.007177172444370438
orie_roll_mean,0.005491183017818695
gyro_y_mean,0.0054756122328010245
orie_roll_iqr,0.004470751160757286
orie_roll_energy,0.004029728345765446
gyro_y_iqr,0.0030941308503872294
orie_roll_std,0.0026903708667112857
acc_z_zcr,0.00266892391713101
acc_x_zcr,0.0020349064962253767
orie_yaw_range,0.001872407115866915
orie_yaw_min,0.0014317314219630636
gyro_z_mean,0.0008962149995283928
gyro_z_max,0.0008287949227471583
acc_y_mean,0.0007425665082301276
orie_roll_min,0.0007334177043074483
orie_yaw_mean,0.0006021981576400569
acc_y_iqr,0.000527574237431645
orie_pitch_std,0.00048749425296316375
acc_y_zcr,0.00040420293277439846
orie_yaw_iqr,0.00040311708487059616
gyro_x_iqr,0.00039568098584141965
acc_z_mean,0.0003365130469990859
gyro_x_range,0.00030945856116251677
orie_yaw_std,0.0003078693930599747
orie_pitch_max,0.0003057903107069475
acc_y_range,0.0002961431868848981
acc_x_range,0.00029213522829697655
orie_yaw_max,0.0002786584603800935
gyro_x_max,0.0002587304373160831
gyro_y_std,0.00022356223740575544
acc_y_max,0.00019565235962822232
gyro_z_iqr,0.00019107739774722003
gyro_y_zcr,0.00017955795372369009
orie_roll_zcr,0.00016321490025037038
acc_y_energy,0.00016193153508295289
gyro_x_std,0.0001593380205102274
orie_roll_range,0.0001377871366747036
gyro_z_range,0.0001325701882360683
acc_z_min,0.000130401244600106
acc_z_max,0.0001265726127754211
gyro_y_max,0.0001204990648546963
gyro_z_zcr,0.00011890529021839524
orie_yaw_zcr,0.00011367630498162408
gyro_y_energy,0.00010948430489429212
gyro_z_std,0.00010881716696238601
orie_pitch_iqr,0.0001033226198986414
acc_x_mean,0.00010093202230109198
gyro_y_range,9.799268468394233e-05
gyro_x_zcr,9.426131234417282e-05
acc_z_range,8.983605556252642e-05
gyro_z_energy,8.815181794708077e-05
gyro_x_energy,8.09564113067559e-05
acc_z_energy,7.63367042014517e-05
gyro_z_min,7.32114204512853e-05
gyro_y_min,6.283934835694694e-05
orie_pitch_zcr,5.766616350752775e-05
acc_y_std,4.9279468749484026e-05
acc_z_std,4.2508046765471236e-05
acc_y_min,4.11177885238739e-05
gyro_x_mean,3.488001818956576e-05
